"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTF1A","PARTF1B","PARTF1C","PARTF1D","PARTF1E","PARTF2A","PARTF2B","PARTF2C1","PARTF2C2","PARTF2C3","PARTF2CTOT","PARTF3A","PARTF3B","PARTF3C","PARTF3D","PARTF4A","PARTF4B","PARTF4C1","PARTF4C2","PARTF4C3","PARTF4CTOT","PARTF5A","PARTF5B","PARTF5C1","PARTF5C2","PARTF5C3","PARTF5CTOT","PARTF6A","PARTF6B","PARTF6C","PARTGMBA","PARTGMRC","PARTGTOTMILES"
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE",,709.44,743.66,0,0,1453.1,1261,1261,65,79,43,187,67.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520.49,1261,187,0,260.24,260.24
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","ALABAMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","KANSAS",15.9,15.9,0,0,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","LOUISIANA",23.99,23.99,0,0,47.98,335,335,37,35,7,79,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.88,335,79,0,22.86,22.86
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MISSISSIPPI",74.54,74.54,0,0,149.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.08,0,0,0,29.86,29.86
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MONTANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NEW MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NORTH DAKOTA",0,0,0,0,0,18,18,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0
41089.4708333333,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","OKLAHOMA",38.35,38.35,0,0,76.7,30,28,3,0,1,4,43.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.29,28,4,0,16.74,16.74
