"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTIPRE20UNK","PARTI192029","PARTI193039","PARTI194049","PARTI195059","PARTI196069","PARTI197079","PARTI198089","PARTI199099","PARTI200009","PARTI201019","PARTITOTAL"
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","ALABAMA",,,,,6.39,,11.34,,12.99,4.82,,35.54
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","CALIFORNIA",,,,,,,,138.02,,,,138.02
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","COLORADO",,,,,,,,9.64,,,,9.64
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","ILLINOIS",,,,,56.46,1.5,,0.09,0.38,,,58.43
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","KANSAS",,,,,,8.88,,9.62,10.81,4.39,,33.7
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","LOUISIANA",2.54,,15.4,0.03,96.83,22.4,45.17,48.17,9.38,7.72,,247.64
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","MISSISSIPPI",,,,35.46,,99.2,25.08,0.17,42.01,75.95,,277.87
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","MONTANA",,,,,,,,,,4.89,,4.89
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","NEW MEXICO",32.22,,0.88,11.69,14.7,,1.5,,,,,60.99
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","NORTH DAKOTA",4.37,,,,,12.78,,11.68,7.84,5.09,,41.76
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","OKLAHOMA",,49.13,11.74,258.45,,47.78,,26.97,0.23,99.67,,493.97
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTERSTATE","TEXAS",1.45,0.09,61,506.83,157.25,252.64,23.31,2.15,38.99,42.58,,1086.29
