"RPTID","CAUSE","CAUSE_TXT","OPERATOR_ID","OWNER_OPERATOR_ID","NAME","OPSTREET","OPCITY","OPCOUNTY","OPSTATE","OPZIP","IHOUR","IDATE","IYEAR","LATITUDE","LONGITUDE","ACCITY","ACCOUNTY","ACSTATE","ACZIP","MPVST","SURNO","TELRN","TELID","TELDT","PPPRP","EMRPRP","ENVPRP","OPCPRP","OPCPRPO","PRODPRP","OPPRP","OOPPRP","OOPPRPO","PRPTY","SPILLED","COMM","CLASS","CLASS_TXT","SPUNIT","SPUNIT_TXT","LOSS","RECOV","GEN_CAUSE","GEN_CAUSE_TXT","LINE_SEG","IFED","INTER","OFFSHORE","OFFAREA","BNUMB","OFFST","OCS","OPPROP","PIPEROW","HCA","HCADESC","SYSPRT","SYSPRT_TXT","SYSPRTO","FAIL_OC","FAIL_OC_TXT","FAIL_OCO","PRTYR","INC_PRS","MOP","OPRS","LRTYPE","LRTYPE_TXT","LRTYPEO","LEAK","LEAK_TXT","PUNC_DIAM","RUPTURE","RUPTURE_TXT","RUPLN","PROPLN","UBLKVM","UBLKVA","UBLKVR","UBLKVC","DBLKVM","DBLKVA","DBLKVR","DBLKVC","SEGISO","VLVDIST","SEGCONF","INLINE","INLINE_TXT","DRHRMF","DRHRMFY","DRLRMF","DRLRMFY","DRUT","DRUTY","DRGEO","DRGEOY","DRCAL","DRCALY","DRCRK","DRCRKY","DRHARD","DRHARDY","DROTH","DROTHY","NPS","WALLTHK","SPEC","SMYS","SEAM","VALVE","MANU","MANYR","LOCLK","LOCLK_TXT","LOCLKO","DEPTH_COV","EFAT","NFAT","GPFAT","INJURE","EINJ","NINJ","GPINJ","SHUTDOWN","SHUTDAY","SHUTHR","SHUTMIN","IGNITE","EXPLO","EVAC","EVACNO","EVAC_REASON","EVAC_REASON_TEXT","STHH","STMN","FISH","BIRDS","TERRESTRIAL","SOIL","SOIL_YRD","IMPACT","REMEDIAL","RSURFACE","RGROUND","RSOIL","RVEG","RWILD","WATER","AMT_IN_WATER","OCEAN","SURFACE","GROUNDW","DRINK","DRINKSRC","DRINKSRC_TXT","COMP_BASED","DETECTED","DETECTED_TXT","DETECTEDO","DURLEAK_DAY","DURLEAK_HR"
20020037,,,19237,,"TE PRODUCTS PIPELINE CO., LP","2929 ALLEN PARKWAY","HOUSTON","HARRIS","TX",77019,948,"1/23/2002",2002,"34 45' 18","92 11' 57","MCRAE","PULASKI","AR",72217,,,,,,0,0,0,0,,10,0,500,"CLEAN UP COSTS",510,"YES","GASOLINE",1,"HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS",2,"GALLONS",50,45,5,"MATERIAL AND/OR WELD FAILURES",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020038,22,"RUPTURED OR LEAKING SEAL/PUMP PACKING",25146,,"EQUISTAR CHEMICALS, L.P.","PO BOX 1847","ALVIN","BRAZORIA","TX",77512,1630,"1/27/2002",2002,"29 42' 31.86","95 15' 9.0","HOUSTON","HARRIS","TX",77017,"LYONDELL/CITGO REFINERY",,592354,,"1/27/2002",0,68000,20231,0,,11,0,10000,"REPAIRS",98242,"YES","HYDRODESULFURIZED LIGHT NAPHTHA",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,"GALLONS",20,0,8,"OTHER","LCR FEEDSTOCK  TANK 613A","NO","INTRASTATE","NO",,,,"NO","YES","NO","YES","HIGH POPULATION & DRINKING AREAS",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,12,"BOLTED FITTING",,1976,308,285,"YES",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,16,0.25,"A4380",65000,"ERW","GATE & CHECK","AMERICAN STEEL",1976,4,"UNDER GROUND",,24,0,0,0,0,0,0,0,"YES",3,0,0,"NO","NO","NO",,,,,,"NO","NO","NO","YES",180,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"NO",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,7
20020039,23,"INCORRECT OPERATION",12628,,"MOBIL PIPELINE CO","800 BELL STREET","HOUSTON","HARRIS","TX",77002,1030,"1/24/2002",2002,"33.03.607","097.35.244","WINNSBORO","FRANKLIN","TX",75494,"MP 98.49",,592538,,"1/29/2002",150,500,0,0,,20,0,47000,"COST OF ENVIRONMENTAL REMEDIATION",47670,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",10,9,7,"INCORRECT OPERATION",,"NO","INTERSTATE","NO",,,,"NO","YES","NO","NO",,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,12,"BOLTED FITTING",,1987,700,275,"YES",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,,,,,,,,,3,"ABOVE GROUND",,,0,0,0,0,0,0,0,"YES",10,0,0,"NO","NO","NO",,,,0,15,"NO","NO","NO","YES",10,"NO","YES","NO","NO","YES","NO","NO","YES",2,"NO","YES","NO","NO",,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,0,1
20020040,,,2731,,"CHEVRON PIPELINE CO","2811 HAYES ROAD","HOUSTON","HARRIS","TX",77082,2100,"1/7/2002",2002,," ","LOST HILLS","KERN","CA",,"T27S-R21E-SEC 3",,,,"1/7/2002",0,0,0,0,,0,2000,1000,"CLEAN UP",3000,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",2,2,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020041,,,4472,,"KINDER MORGAN ENERGY PARTNERS, L.P.","500 DALLAS ST, SUITE 1000","HOUSTON","HARRIS","TX",77002,604,"1/23/2002",2002,,,"BURR","OTOE","NE",68324,,"LINE 101 - UNIT 1 - UNADI",,,,0,0,0,0,,42,0,2620,"REPAIRS & LABOR",2662,"YES","PROPANE",1,"HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS",1,"BARRELS",4,0,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020042,17,"BUTT WELD",2731,,"CHEVRON PIPELINE CO","2811 HAYES ROAD","HOUSTON","HARRIS","TX",77082,1125,"1/7/2002",2002,,,"LAS CRUCES","SIERRA","NM",,"MP 88.8 TSP17S-R1E-BLK 9",,590400,,"1/7/2002",0,0,0,0,,25000,1000,50000,"CLEAN UP",76000,"YES","GASOLINE & DIESEL",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,"BARRELS",950,0,5,"MATERIAL AND/OR WELD FAILURES",8,"YES","INTERSTATE","NO",,,,"NO","NO","YES","NO",,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,13,"GIRTH WELD",,1954,1470,1715,"NO",4,"OTHER","4-Jan",,,,,,,,"YES","NO","NO","NO","YES","NO","NO","NO",316800,168960,"YES",1,"YES","NO",,"YES",2000,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,8,0.25,"X42 ERW",42000,"SEAMLESS",,,,4,"UNDER GROUND",,36,0,0,0,0,0,0,0,"YES",0,8,0,"NO","NO","NO",,,,,,"NO","NO","NO","YES",450,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",1,"CPM/SCADA-BASED SYSTEM WITH LEAK DETECTION",,3,0
20020043,,,4805,,"EXPLORER PIPELINE CO","PO BOX 2650","TULSA","TULSA","OK",74101,530,"3/4/2002",2002,"N 29,43,03","W 95,10,49","PASADENA","HARRIS","TX",77501,"28"" MP0.0 PASADENA STATIO",,,,,0,1000,200,0,,1,0,0,,1201,"YES","TRANSMIX(GASO/FUEL OIL/JET FUEL MIX)",3,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,"GALLONS",21,20,7,"INCORRECT OPERATION",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020044,,,15774,,"ENBRIDGE PIPELINES (NORTH DAKOTA) INC","2625 RAILWAY AVE","MINOT","WARD","ND",58703,610,"2/12/2002",2002,,,"MINOT","WARD","ND",58703,,"MINOT STATION",593772,,"2/12/2002",0,0,0,0," ",0,0,2000,"LABOR & DISPOSAL",2000,"YES","CRUDE OIL",4,"CRUDE OIL",2,"GALLONS",10,5,6,"EQUIPMENT",,"NO",,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020045,9,"THIRD PARTY EXCAVATION DAMAGE",12452,,"MID - AMERICA PIPELINE CO (MAPCO)","PO BOX 21628","TULSA","OSAGE","OK",74101,1305,"1/29/2002",2002,"N 37.23234804","W 99.70684729"," ","WARREN","IL",,"MP 84.4",,592520,,"1/29/2002",0,52000,0,0,,92693,1000,0,,145693,"YES","PROPANE",1,"HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS",1,"BARRELS",7500,0,3,"EXCAVATION DAMAGE","FARMINGTON LATERAL","NO","INTRASTATE","NO",,,,"NO","NO","YES","NO",,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,"BODY OF PIPE",,1962,300,1300,"NO",1,"LEAK",,3,"PUNCTURE",15,,,,,"YES","NO","NO","NO","YES","NO","NO","NO",72171,72171,"YES",2,"NO","NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,8,0.16,"API 5L",52000,"LF ERW",,"STUPP CORP",1962,4,"UNDER GROUND",,61,0,0,0,0,0,0,0,"YES",2,12,0,"NO","NO","YES",30,2,"REQUIRED OR INITIATED BY PUBLIC OFFICIAL",19,55,"NO","NO","NO","NO",,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,,,"NO",6,"A THIRD PARTY",,2,12
20020046,25,"UNKNOWN",2371,,"CINIZA PIPELINE INC","111 COUNTY ROAD 4990","BLOOMFIELD","SAN JUAN","NM",87413,915,"2/13/2002",2002,"36 02.635 N","107 36.852W",,"SANDOVAL","NM",,,"STAR LAKE STATION",593977,,"2/13/2002",0,4800,900,0,,192,0,0,,5892,"YES","CRUDE OIL",4,"CRUDE OIL",1,"BARRELS",12,0,8,"OTHER","STAR LAKE STATION","YES","INTRASTATE","NO",,,,"NO","YES","NO","NO",,1,"ABOVE GROUND STORAGE TANK",,14,"OTHER","STORAGE TANK",1981,15,1110,"NO",,,,,,,,,,,"NO","NO","NO","NO","NO","NO","NO","NO",,,,,,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,"NO",,,,,,,,,,3,"ABOVE GROUND",,,0,0,0,0,0,0,0,"NO",,,,"NO","NO","NO",,,,,,"NO","NO","NO","YES",30,"NO","YES","NO","NO","YES","NO","NO","NO",,,,,,,,"YES",3,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",,,
