RPTID	CAUSE	CAUSE_TXT	PIPE_COAT	PIPE_COAT_TXT	VIS_EXAM	VIS_EXAM_TXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	PREV_DAM_UK	EARTH_MOVE	EARTH_MOVE_TXT	EARTH_MOVEO	FLOODS	FLOODS_TXT	FLOODSO	TEMPER	TEMPER_TXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TXT	THIRD_PARTY_TYPEO	EXCAV_TYPE	EXCAV_TYPE_TXT	EXCAV_ON	EXCAV_LAST_CONTACT	NOTIF	NOTIF_DATE	NOTIF_RCVD_TXT	MARKED	TEMP_MARK	TEMP_MARK_TXT	PERM_MARK	ACC_MARK	ACC_MARK_TXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TXT	PIPE_BODY	PIPE_BODY_TXT	PIPE_BODYO	COMPONENT	COMPONENT_TXT	COMPONENTO	JOINT	JOINT_TXT	JOINTO	BUTT	BUTT_TXT	BUTTO	FILLET	FILLET_TXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TXT	PIPE_SEAMO	FAIL_TYPE	FAIL_TYPE_TXT	CONS_DEF	CONS_DEF_TXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_MED	TEST_MED_TXT	TEST_MEDO	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TXT	MALFUNCO	THREADS	THREADS_TXT	THREADSO	SEAL	SEAL_TXT	SEALO	IO_TYPE	IO_TYPE_TXT	IO_TYPEO	IO_DRUG	IO_ALCO	MISC	UNKNOWN	UNKNOWN_TXT
20020037																																																																																															
20020038	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			1	GASKET									
20020039	23	INCORRECT OPERATION																																																																																						1	INADEQUATE PROCEDURES		0	0			
20020040																																																																																															
20020041																																																																																															
20020042	17	BUTT WELD																																																						1	PIPE								1	CONSTRUCTION DEFECT	1	POOR WORKMANSHIP	NO	YES	5	12	1982	1	WATER		11	1900																	
20020043																																																																																															
20020044																																																																																															
20020045	9	THIRD PARTY EXCAVATION DAMAGE																								3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	12	OTHER	DRAIN TILE EXCAVATOR	1	OPEN TRENCH	NO		NO																																																												
20020046	25	UNKNOWN																																																																																												2	STILL UNDER INVESTIGATION
20020048	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																4	OTHER	PIPE BROKE AT THREADED FITTING											
20020049	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		4	MICROBIOLOGICAL		YES	1949	NO																																																																																		
20020050																																																																																															
20020051																																																																																															
20020052																																																																																															
20020053	22	RUPTURED OR LEAKING SEAL/PUMP PACKING																																																																																			3	SEAL/PUMP PACKING									
20020054	23	INCORRECT OPERATION																																																																																						3	FAILURE TO FOLLOW PROCEDURES		0	0			
20020055	1	"CORROSION, EXTERNAL"	2	COATED	2	GENERAL CORROSION		1	GALVANIC		YES	1952	YES	0	0	YES																																																																															
20020056																																																																																															
20020057																																																																																															
20020058	24	MISCELLANEOUS																																																																																											MECHANICAL FAILURE		
20020059																																																																																															
20020060	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													5	BLOCK VALVE															
20020061																																																																																															
20020062	13	VANDALISM																																																																																													
20020063																																																																																															
20020064																																																																																															
20020065	21	"THREADS STRIPPED, BROKEN PIPE COUPLING"																																																																																1	NIPPLES												
20020066																																																																																															
20020067																																																																																															
20020068																																																																																															
20020069	24	MISCELLANEOUS																																																																																											PUMP SEAL		
20020070	24	MISCELLANEOUS																																																																																											"INITIALLY WOLVERINE WAS NOT CERTAIN AS TO THE CAUSE OF THE LEAK THAT WAS DISCOVERED IN ITS GRAVITOMETER VAULT NEAR LOCKPORT, IL ON SEPTEMBER 11, 2001.  THE LEAK OBSERVED ON THAT DATE WAS BELOW THE REPORTING THRESHOLD.  A POST DISCOVERY INVESTIGATION CONCLUDED THAT THE GRAVITOMETER, WHICH HAD NOT BEEN USED SINCE THE EARLY 1970'S, WAS THE CAUSE OF THE LEAK.  MECHANICAL STRESSES OVER A LONG PERIOD OF TIME CAUSED THE BOLTS INSIDE THE GRAVITOMETER TO COME LOOSE RESULTING IN THE GRAVITOMETER SAMPLE PROBE BASE TO TILT TO THE SIDE.  THIS TILTING ALLOWED REFINED PRODUCTS TO BYPASS THE GRAVITOMETER INTERNAL O-RING AND ENTER THE GRAVITOMETER ELECTRICAL ENCLOSURE THAT WAS NOT DESIGNED TO HOLD PIPELINE PRESSURES.  REFINED PRODUCT LEAKED FROM THE THREADED CONNECTIONS   ON THE ELECTRICAL PORTION OF THE GRAVITOMETER INTO THE VAULT.  WOLVERINE HAS REMOVED THE GRAVITOMETER AND INSTALLED A BLIND FLANGE."		
20020071																																																																																															
20020072																																																																																															
20020073	20	MALFUNCTION OF CONTROL/RELIEF EQUIPMENT																																																																													8	OTHER	THERMAL RELIEF DEVICE														
20020074	6	TEMPERATURE																					3	FROZEN COMPONENTS																																																																							
20020075																																																																																															
20020076	2	"CORROSION, INTERNAL"	2	COATED	1	LOCALIZED PITTING		8	OTHER	UNKNOWN	YES	1974	NO																																																																																		
20020077	1	"CORROSION, EXTERNAL"	2	COATED	1	LOCALIZED PITTING		1	GALVANIC		YES	1973	NO																																																																																		
20020078	24	MISCELLANEOUS																																																																																											REPAIR CLAMP HAD SOME NUTS THAT WERE NOT COMPLETELY TIGHT.		
20020079																																																																																															
20020080	24	MISCELLANEOUS																																																																																											THE SUMP CONTAINED A CRACK JUST ABOVE THE LOCATION WHERE THE INLET PIPING CONNECTS TO THE SUMP.		
20020081	2	"CORROSION, INTERNAL"	2	COATED	3	OTHER	NA	4	MICROBIOLOGICAL		YES	1958	NO																																																																																		
